Produto_numero;Nome;Codigo;Familia_numero;Linha_numero;Grupo;Fabricante;Fabricado_por;Conteudo_unidade;Unidade_medida;Peso_liquido;Peso_bruto;Preco_compra;Preco_venda;Estoque_minimo;Estoque_maximo;Estoque_ideal;Tempo_reposicao
1057;MOLDURA B515MCA;31082036;5;14;Acabado;ENGEL;Terceiros;1;UN;1;1;1.00;1.00;15;35;25;7
43;POM CELCON M90;31081546;1;14;Materia Prima;ENTEC;Terceiros;1;KG;1;1;10.00;22.90;13;30;20;6
390;PPT 20 EF109AEB-P017;31081662;1;22;Materia Prima;Entec;Terceiros;1;KG;1;1;15.00;19.62;15;35;25;2
1345;POM NATURAL M90;31082174;1;14;Materia Prima;ENTEC;Terceiros;1;kg;1;2;17.00;22.90;5;25;15;7
949;Capa Plastica SLA 22.2;31081984;13;19;Acabado;PRK;Terceiros;1;UN;100;101;25.00;25000.00;15;35;25;9
1547;CARREGADOR BATERIA TRACIONARIA LITIO HANGCHA SLC-80200;31082342;16;24;Acabado;ADVENCED;Terceiros;1;UN;1;1;200.00;240.00;7;30;20;15
83;CHAPA DE ESPELHO 1400 X 700;31081577;1;13;Materia Prima;EUROQUADROS;Terceiros;1;UN;1;1;16.00;41.56;7;30;20;2
769;CHAPA DE ESPELHO 0.8 x 2.10;31081910;1;13;Materia Prima;EUROQUADROS;Terceiros;1;UN;1;1;139.00;146.09;12;30;20;9
770;CHAPA DE ESPELHO 10.0 x 2.30;31081911;1;13;Materia Prima;EUROQUADROS;Terceiros;1;UN;1;1;111.00;200.00;6;30;20;13
771;CHAPA DE ESPELHO 10.0 x 1.80;31081912;1;13;Materia Prima;EUROQUADROS;Terceiros;1;UN;1;1;47.00;156.52;10;30;20;4
772;CHAPA DE ESPELHO 1.20.0 x 1.80;31081913;1;13;Materia Prima;EUROQUADROS;Terceiros;1;UN;1;1;132.00;187.83;14;35;25;10
382;PORCA MOLA (PINcA);31081657;1;14;Materia Prima;FANANDRI;Terceiros;1;UN;1;1;0.16;0.31;14;35;25;4
624;PORCA M6 0.8 mm;31081813;5;14;Materia Prima;FANANDRI;Terceiros;1;UN;1;1;0.09;0.18;12;30;20;8
647;PORCA RAPIDA;31081827;5;8;Materia Prima;FANANDRI;Terceiros;1;UN;1;1;1.00;1.00;15;35;25;6
455;BASE X6H;31081715;13;19;Acabado;FANANDRI;Terceiros;1;UN;549;550;1.00;1.00;14;35;25;6
457;CONSOLE BG;31081717;13;19;Acabado;FANANDRI;Terceiros;1;UN;1377;1378;1.00;1.00;15;35;25;12
459;SUPORTE DO CLIPE CENTRAL 23X;31081719;13;19;Acabado;FANANDRI;Terceiros;1;UN;369;370;1.00;1.00;6;30;20;11
1428;CENTRAL GRILLE PSA F3;31082224;5;21;Acabado;PO Taubate;Terceiros;1;UN;0.79;0.79;35.00;42.00;12;30;20;13
1147;PP EPDM TD10 PRETO;31082101;1;14;Materia Prima;FS POL;Terceiros;1;KG;1;1;5.00;7.50;15;35;25;13
1216;ABS PRETO;31082132;1;14;Materia Prima;FS POLIMEROS;Terceiros;1;UN;1;1;5.00;22.00;7;30;20;3
589;PP + EPDM TD30 PRETO;31081799;1;21;Materia Prima;FS POLLYMERS;Terceiros;1;KG;1;1;2.00;7.20;10;30;20;15
1194;PP 10% PRETO;31082122;1;14;Materia Prima;FS POLLYMERS;Terceiros;1;UN;1;1;8.00;9.50;10;30;20;3
1436;CENTRAL GRILLE PSA F3;31082231;13;19;Acabado;PO Taubate;Terceiros;1;UN;6600;6600;35.00;42.00;8;30;20;2
444;PINO DA TAMPA SMP;31081704;13;19;Acabado;FS POLLYMERS;Terceiros;1;UN;319;320;1.00;1.00;6;30;20;14
1331;PP 10% FIBRA  PRETO;31082165;1;14;Materia Prima;FS POLYMMERES;Terceiros;1;UN;1;1;10.00;16.50;13;30;20;9
1190;MAQUINA DE CORTE CNC ESPELHO  GIGATRON;31082120;16;24;Acabado;GIGATRON;Terceiros;1;Pc;120;120000;38458.00;45000.00;3;25;15;4
551;BRACKET  TOYOTA 230B;31081769;13;19;Acabado;GIGATRON;Terceiros;1;UN;1;2;1.00;1.00;13;30;20;8
1521;CHAPATEX DE FIBRA DE MADEIRA 120 X 100 CM DE 03MM;31082316;5;12;Embalagem;POLYACS;Terceiros;1;UN;1;1;28.00;33.60;4;25;15;6
1583;CLIP FILLER PIPE BRACKET CC21/CC24;31082378;13;19;Acabado;RRV;Terceiros;1;UN;124;124;12.00;14.40;14;35;25;2
1582;CLIP LIQUID TRAP TAOS;31082377;13;19;Acabado;RRV;Terceiros;1;UN;124;124;12.00;14.40;12;30;20;3
1461;CONTROLADOR DE TEMPERATURA SY-2000/06 ZONAS;31082256;10;18;Acabado;SYNCHRO-TECH;Terceiros;1;UN;1;1;50.00;60.00;6;30;20;15
1581;CORPO LIQUID TRAP TAOS;31082376;13;19;Acabado;RRV;Terceiros;1;UN;124;124;10.00;12.00;7;30;20;15
1496;CPE: 00377582 - STAPP TF0813Z PR;31082291;1;14;Materia Prima;CPE;Terceiros;1;UN;1;1;28.00;33.60;12;30;20;9
1433;DE INJEcaO AIR PIPE ADPTER BRACKET;31082228;13;19;Acabado;PRIMA SOLE;Terceiros;1;UN;338;338;80.00;96.00;5;25;15;4
870;COMPRA DE INSTRUMENTOS PARA TRABALHO;31081963;16;14;Acabado;GIVI DO BRASIL;Terceiros;1;UN;1;1;1.00;1.00;11;30;20;6
882;SE PLACA 4X2 LUNARE;31081966;13;19;Acabado;GIVI DO BRASIL;Terceiros;1;UN;1;2;16113.00;20000.00;7;30;20;11
883;Locacao de Equipamentos;31081967;16;17;Acabado;GIVI DO BRASIL;Terceiros;1;UN;1;2;1.00;1.00;11;30;20;5
886;MATERIAL PREDIAL;31081968;7;14;Acabado;GIVI DO BRASIL;Terceiros;1;UN;1;2;55.00;60.00;3;25;15;6
895;Colorimetro Colorium;31081969;5;14;Acabado;GIVI DO BRASIL;Terceiros;1;UN;1;1;425.00;590.00;6;30;20;2
919;MAQ INJ 200/460 USADO;31081974;16;24;Acabado;GIVI DO BRASIL;Terceiros;1;UN;1;2;45753.00;70000.00;11;30;20;15
920;MAQ INJ 125/290 USADA;31081975;16;24;Acabado;GIVI DO BRASIL;Terceiros;1;UN;1;1;16989.00;70000.00;4;25;15;12
925;POSTIcO DO HANDLE TOOL BOX;31081976;16;15;Acabado;GIVI DO BRASIL;Terceiros;1;UN;1;1;1.00;1.00;15;35;25;6
762;MANUTENcaO DO MOLE BR 04;31081904;10;18;Acabado;GOLD MOLD;Terceiros;1;UN;1;1;19385.00;32000.00;6;30;20;5
1208;DE INJEcaO BASE INFERIOR LIQUID TRAP;31082125;13;19;Acabado;GOLD MOLD;Terceiros;1;UN;550;550;119640.00;378300.00;12;30;20;7
1212;FP BRACKET SC 24 L 7 (INJEcaO);31082128;13;19;Acabado;GOLD MOLD;Terceiros;1;UN;200;201;59139.00;1445600.00;7;30;20;8
1213;FP BRACKET SC24 L7 (SOBRE INJEcaO);31082129;13;19;Acabado;GOLD MOLD;Terceiros;1;UN;200;201;83663.00;212369.23;12;30;20;2
